,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp.,Wind Speed
0,Half Moon Bay,5,US,1590699507,60,37.46,-122.43,77.0,9.17
1,Sabang,100,ID,1590699507,75,5.89,95.32,83.01,3.6
2,La Macarena,31,CO,1590699508,61,2.18,-73.78,84.69,3.02
3,Toora-Khem,100,RU,1590699508,84,52.47,96.11,35.24,2.33
4,Kapaa,40,US,1590699508,69,22.08,-159.32,80.6,11.41
5,Castro,0,BR,1590699286,72,-24.79,-50.01,52.36,2.51
6,Caniço,40,PT,1590699508,77,32.63,-16.85,68.0,3.36
7,Vilyuysk,69,RU,1590699508,88,63.76,121.62,33.53,9.98
8,Busselton,0,AU,1590699508,77,-33.65,115.33,60.01,18.61
9,Provideniya,90,RU,1590699509,94,64.38,-173.3,37.4,20.13
10,San Quintín,6,MX,1590698910,69,30.48,-115.95,70.16,11.14
11,Albany,95,US,1590699243,68,42.6,-73.97,78.01,10.36
12,Clyde River,75,CA,1590699509,92,70.47,-68.59,28.4,14.99
13,Broken Hill,0,AU,1590699509,75,-31.95,141.43,42.8,4.7
14,Cape Town,90,ZA,1590699351,93,-33.93,18.42,64.0,13.87
15,Faya,0,SA,1590699509,68,18.39,42.45,69.8,4.25
16,Rockhampton,20,AU,1590699510,87,-23.38,150.5,53.6,2.68
17,Belaya Gora,100,RU,1590699510,41,68.53,146.42,54.46,24.02
18,Constitución,100,CL,1590699510,85,-35.33,-72.42,56.3,0.58
19,Punta Arenas,85,CL,1590699462,74,-53.15,-70.92,41.0,13.87
20,Pangnirtung,90,CA,1590698923,74,66.15,-65.71,28.4,14.99
21,Bengkulu,100,ID,1590699510,86,-3.8,102.27,76.5,3.4
22,San Cristobal,75,VE,1590698917,55,7.77,-72.22,86.0,4.7
23,Acajutla,40,SV,1590699267,58,13.59,-89.83,86.0,1.9
24,Thompson,90,CA,1590699511,80,55.74,-97.86,39.2,8.05
25,Mossamedes,6,AO,1590699511,57,-15.2,12.15,74.48,9.15
26,Tuktoyaktuk,20,CA,1590699511,62,69.45,-133.04,51.8,10.29
27,Port Elizabeth,100,ZA,1590699265,60,-33.92,25.57,63.99,12.12
28,Kang,0,BW,1590699511,35,-23.68,22.79,51.53,3.0
29,Vaini,40,TO,1590699512,88,-21.2,-175.2,75.2,4.7
30,Port Alfred,84,ZA,1590699512,76,-33.59,26.89,64.99,4.0
31,Tres Arroyos,67,AR,1590699512,70,-38.37,-60.28,52.95,10.27
32,Mataura,58,NZ,1590699512,89,-46.19,168.86,42.46,1.68
33,San Patricio,5,MX,1590699512,78,19.22,-104.7,78.8,23.04
34,Labuan,75,MY,1590699512,94,5.28,115.24,80.6,7.67
35,Tasiilaq,100,GL,1590699512,94,65.61,-37.64,35.6,14.99
36,Gdov,0,RU,1590699513,79,58.74,27.81,50.07,7.07
37,Yangi Marg`ilon,90,UZ,1590699513,53,40.43,71.72,71.6,4.7
38,Paidha,100,UG,1590699513,90,2.42,30.99,63.09,4.5
39,Rikitea,39,PF,1590699513,84,-23.12,-134.97,76.82,7.58
40,Hobart,75,AU,1590699295,71,-42.88,147.33,55.99,8.05
41,Chui,0,UY,1590699513,83,-33.7,-53.46,57.52,3.2
42,Sur,4,OM,1590699514,57,22.57,59.53,89.15,10.63
43,Khatanga,100,RU,1590699514,95,71.97,102.5,34.65,13.82
44,Kropotkin,100,RU,1590699514,73,45.44,40.58,67.17,6.35
45,Margate,0,GB,1590699514,74,51.38,1.39,57.0,1.99
46,Vardø,16,NO,1590699514,70,70.37,31.11,42.8,5.82
47,Nicoya,75,CR,1590698702,88,10.15,-85.45,78.8,8.05
48,Butaritari,3,KI,1590699514,79,3.07,172.79,83.05,12.93
49,Alice Springs,0,AU,1590698727,60,-23.7,133.88,41.0,3.36
50,Tilichiki,100,RU,1590699514,93,60.47,166.1,35.08,11.56
51,Shenzhen,16,CN,1590699459,99,22.55,114.07,82.0,7.85
52,Pevek,20,RU,1590699515,84,69.7,170.31,35.76,21.94
53,Okakarara,0,NA,1590699515,38,-20.58,17.43,55.45,4.97
54,Avarua,66,CK,1590699515,94,-21.21,-159.78,78.8,14.99
55,Dingle,76,PH,1590699515,86,11.0,122.67,78.22,4.34
56,Chokurdakh,91,RU,1590699515,40,70.63,147.92,53.47,18.59
57,Isangel,20,VU,1590699515,94,-19.55,169.27,73.4,8.28
58,Saint Paul Harbor,40,US,1590699516,31,57.79,-152.41,60.8,16.11
59,Kruisfontein,100,ZA,1590699516,60,-34.0,24.73,60.85,10.27
60,Grindavik,90,IS,1590699516,100,63.84,-22.43,48.2,21.92
61,Natal,20,BR,1590699222,78,-5.79,-35.21,82.4,12.75
62,Malartic,75,CA,1590699516,42,48.13,-78.13,84.2,16.11
63,Jamestown,90,US,1590699396,88,42.1,-79.24,73.0,12.75
64,Qaanaaq,78,GL,1590699516,92,77.48,-69.36,32.32,1.45
65,Linxia Chengguanzhen,0,CN,1590699516,52,35.6,103.21,48.33,3.98
66,Bac Lieu,100,VN,1590698919,76,9.29,105.72,84.27,8.41
67,Henties Bay,0,NA,1590699517,91,-22.12,14.28,55.99,6.53
68,Vila Velha,20,BR,1590699517,64,-20.33,-40.29,73.4,11.41
69,Nantucket,40,US,1590699517,82,41.28,-70.1,69.01,11.41
70,Caronport,75,CA,1590699517,34,50.45,-105.82,64.4,24.16
71,Portland,40,US,1590699453,32,45.52,-122.68,89.01,10.29
72,Bereda,0,ES,1590699517,79,43.27,-7.54,66.0,1.01
73,Saldanha,91,ZA,1590699518,93,-33.01,17.94,57.2,5.82
74,Saskylakh,95,RU,1590699518,93,71.92,114.08,32.16,11.54
75,Xuzhou,100,CN,1590699518,53,34.18,117.16,80.01,5.99
76,Nísia Floresta,20,BR,1590699481,78,-6.09,-35.21,82.4,12.75
77,Bluff,61,NZ,1590699518,85,-46.6,168.33,49.14,7.49
78,Ushuaia,100,AR,1590699298,56,-54.8,-68.3,41.0,11.41
79,Calama,0,CL,1590699518,19,-22.47,-68.93,69.8,19.46
80,College,90,US,1590699518,42,64.86,-147.8,64.0,8.05
81,Waitati,100,NZ,1590699519,88,-45.75,170.57,45.0,1.01
82,Nombre de Dios,40,MX,1590699519,12,23.85,-104.23,86.0,3.36
83,Manzhouli,99,CN,1590699519,83,49.6,117.43,54.39,9.69
84,Saint-Augustin,72,CA,1590699519,75,51.23,-58.65,58.37,11.25
85,Pisco,75,PE,1590699519,73,-13.7,-76.22,69.8,9.17
86,Hīt,0,IQ,1590699519,19,33.64,42.83,89.55,17.69
87,Bredasdorp,100,ZA,1590699519,68,-34.53,20.04,64.4,21.92
88,Nara,0,JP,1590699519,71,34.69,135.8,62.01,4.7
89,Wanning,83,CN,1590699520,88,18.8,110.4,79.2,5.53
90,Osakarovka,0,KZ,1590699520,43,50.56,72.57,55.65,6.24
91,Mahébourg,40,MU,1590698926,83,-20.41,57.7,75.2,11.41
92,Luanda,75,AO,1590698920,94,-8.84,13.23,75.2,8.05
93,Hilo,20,US,1590699520,58,19.73,-155.09,82.4,10.29
94,Sanmenxia,98,CN,1590699520,46,34.77,111.18,70.03,4.81
95,Carnarvon,0,AU,1590699520,65,-24.87,113.63,63.45,9.91
96,Leningradskiy,0,RU,1590699520,84,69.38,178.42,36.18,4.81
97,Puerto Ayora,75,EC,1590699521,65,-0.74,-90.35,80.6,4.7
98,Eaglesfield,91,GB,1590699521,74,54.64,-3.4,63.0,1.92
99,Saint George,1,US,1590699431,11,37.1,-113.58,102.0,3.36
100,Paraty,0,BR,1590699521,45,-23.22,-44.71,68.0,3.36
101,San Lorenzo,0,PY,1590699521,32,-25.33,-57.53,80.6,9.17
102,Muros,6,ES,1590699521,78,42.78,-9.06,77.0,5.19
103,Kachīry,32,KZ,1590699521,36,53.07,76.1,58.68,6.11
104,Mareeba,5,AU,1590699522,91,-17.0,145.43,59.0,1.01
105,Madison,75,US,1590699275,61,34.73,-86.57,82.99,9.17
106,Weatherford,35,US,1590699337,63,32.76,-97.8,84.0,4.0
107,Amberley,40,US,1590699522,54,39.2,-84.43,84.0,12.75
108,Anadyr,75,RU,1590699522,100,64.75,177.48,33.8,24.61
109,Severo-Kuril'sk,100,RU,1590699522,93,50.68,156.12,37.96,18.5
110,Atuona,67,PF,1590699522,75,-9.8,-139.03,80.69,14.79
111,Independence,90,US,1590699522,93,39.09,-94.42,64.99,6.93
112,Sitka,75,US,1590699523,48,57.05,-135.33,60.8,13.87
